player,team,touches,touch_map_saved,error
Samuele Inácio,Borussia Dortmund,201,True,
Sander Tangvik,Hamburg,68,True,
Saël Kumbedi,Wolfsburg,1168,True,
Saïd El Mala,FC Koln,863,True,
Sebastian Sebulonsen,FC Koln,1410,True,
Senne Lynen,Werder Bremen,2106,True,
Serge Gnabry,Bayern,865,True,
Serhou Guirassy,Borussia Dortmund,949,True,
Sheraldo Becker,Mainz,326,True,
Shuto Machino,Borussia M.Gladbach,470,True,
Silas Katompa Mvumpa,Mainz,135,True,
Silvan Widmer,Mainz,1038,True,
Sirlord Conteh,FC Heidenheim,237,True,
Skelly Alvero,Werder Bremen,31,True,
Sota Kawasaki,Mainz,140,True,
Stanley Nsoki,Union Berlin,498,True,
Stefan Bell,Mainz,620,True,
Stefan Posch,Mainz,982,True,
Stefan Schimmer,FC Heidenheim,294,True,
Sven Ulreich,Bayern,48,True,
Taichi Hara,St. Pauli,12,True,
Thomas Keller,FC Heidenheim,146,True,
Tiago Tomás,Stuttgart,544,True,
Tidiam Gomis,RBL,212,True,
Tim Kleindienst,Borussia M.Gladbach,10,True,
Tim Lemperle,Hoffenheim,884,True,
Tim Oermann,Leverkusen,15,True,
Tim Siersleben,FC Heidenheim,755,True,
Tim Skarke,Union Berlin,277,True,
Timo Hübers,FC Koln,507,True,
Timo Werner,RBL,13,True,
Timothy Chandler,Eintracht Frankfurt,16,True,
Tom Bischof,Bayern,1461,True,
Tom Krauß,FC Koln,1210,True,
Tom Rothe,Union Berlin,736,True,
Tomoya Ando,St. Pauli,925,True,
Uchenna Ogundu,Augsburg,30,True,
Umut Tohumcu,Hoffenheim,71,True,
Valentin Gendrey,Hoffenheim,45,True,
Victor Boniface,Werder Bremen,190,True,
Vincenzo Grifo,Freiburg,1090,True,
Vini Souza,Wolfsburg,1010,True,
Vladimír Coufal,Hoffenheim,2423,True,
Václav Cerny,Wolfsburg,19,True,
Wael Mohya,Borussia M.Gladbach,310,True,
Waldemar Anton,Borussia Dortmund,2861,True,
Warmed Omari,Hamburg,970,True,
Willi Orbán,RBL,2850,True,
William Bøving,Mainz,116,True,
William Mikelbrencis,Hamburg,788,True,
Wisdom Mike,Bayern,26,True,
Woo-yeong Jeong,Union Berlin,543,True,
Wouter Burger,Hoffenheim,1863,True,
Xaver Schlager,RBL,1366,True,
Xavi Simons,RBL,53,True,
Yan Couto,Borussia Dortmund,799,True,
Yan Diomande,RBL,1759,True,
Yannick Gerhardt,Wolfsburg,648,True,
Yannik Engelhardt,Borussia M.Gladbach,1664,True,
Yannik Keitel,Augsburg,125,True,
Yannik Wagner,FC Heidenheim,17,True,
Younes Ebnoutalib,Eintracht Frankfurt,53,True,
Youssoupha Niang,FC Koln,97,True,
Yuito Suzuki,Freiburg,654,True,
Yukinari Sugawara,Werder Bremen,1697,True,
Yussuf Poulsen,Hamburg,180,True,
Ísak Jóhannesson,FC Koln,1133,True,
